name,iso,lat,lon,area
Sudan,SDN,15.55,32.53333,2505813
Suriname,SUR,5.866667,-55.23333,163820
Swaziland,SWZ,-26.33333,31.13333,17364
Sweden,SWE,59.33333,18.08333,449964
Switzerland,CHE,46.95,7.433333,41288
Syrian Arab Republic,SYR,33.5,36.31667,184004
Taiwan,TWN,25.08333,121.5333,35875
Tajikistan,TJK,38.63334,68.85,143095
"Tanzania, United Rep. of ",TZA,-6.85,39.3,945090
"Tanzania, United Rep. of ",TZA,-6.17,35.74,945090
Thailand,THA,13.73333,100.5,513115
Togo,TGO,6.166667,1.35,56785
Tokelau,TKL,-9.0,-172.0,10
Tonga,TON,-21.15,-175.2333,748
Trinidad and Tobago,TTO,10.63333,-61.51667,5130
Tunisia,TUN,36.83333,10.21667,164150
Turkey,TUR,41.03333,28.95,780576
Turkey,TUR,39.93,32.85,780576
Turkmenistan,TKM,37.95,58.38334,488100
Turks and Caicos Islands,TCA,21.46667,-71.13333,430
Tuvalu,TUV,-8.5,179.2,26
Uganda,UGA,0.3333333,32.58333,241038
Ukraine,UKR,50.41667,30.5,603677
United Arab Emirates,ARE,24.46667,54.41667,83657
United Kingdom,GBR,51.5,-0.1666667,244110
United States of America,USA,40.75,-74.0,9529106
United States of America,USA,38.867,-77.0,9529106
Uruguay,URY,-34.91667,-56.16667,176215
Uzbekistan,UZB,41.26667,69.21667,447400
Vanuatu,VUT,-17.75,168.3,14763
Venezuela,VEN,10.58333,-66.93333,911930
Viet Nam,VNM,21.01667,105.8667,331114
Wallis and Futuna,WLF,-13.3,-176.2,274
Western Sahara,ESH,27.16667,-13.18333,266000
Yemen,YEM,15.4,44.23333,547244
Zambia,ZMB,-15.46667,28.26667,752614
Zimbabwe,ZWE,-17.83333,31.05,390759
